Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage,r_tp_m_fn,r_tp_m_fn_per,r_tn_m_fp,r_tn_m_fp_per,m_tp_r_fn,m_tp_r_fn_per,m_tn_r_fp,m_tn_r_fp_per,s_tp_r_fn,s_tp_r_fn_per,s_tn_r_fp,s_tn_r_fp_per,r_tp_s_fn,r_tp_s_fn_per,r_tn_s_fp,r_tn_s_fp_per,s_tp_m_fn,s_tp_m_fn_per,s_tn_m_fp,s_tn_m_fp_per,m_tp_s_fn,m_tp_s_fn_per,m_tn_s_fp,m_tn_s_fp_per
arsenic-male-lung,Mod,320,0.5724508050089445,254,0.4543828264758497,300,0.5366726296958855,30,0.21897810218978103,0,0,290,0.7304785894206549,0,0,143,0.7944444444444444,11,1.0,100,0.7299270072992701,0,0,36,0.2,8,0.7272727272727273,256,0.64,0,0.0
backache,Default,82,0.45555555555555555,102,0.5666666666666667,82,0.45555555555555555,5,0.07042253521126761,5,0.8333333333333334,72,0.5217391304347826,0,0.0,48,0.6075949367088608,11,0.7857142857142857,40,0.5633802816901409,3,0.5,4,0.05063291139240506,13,0.9285714285714286,64,0.460431654676259,1,0.5
backache,Mod,119,0.6611111111111111,111,0.6166666666666667,60,0.3333333333333333,3,0.1111111111111111,14,0.7368421052631579,102,0.8095238095238095,0,0.0,90,0.8490566037735849,1,0.09090909090909091,11,0.4074074074074074,9,0.47368421052631576,13,0.12264150943396226,9,0.8181818181818182,34,0.2677165354330709,4,0.6666666666666666
breastw,Default,340,0.4978038067349927,533,0.780380673499268,289,0.42313323572474376,3,0.0196078431372549,35,0.7777777777777778,269,0.6420047732696897,33,0.7674418604651163,253,0.7666666666666667,194,0.8471615720524017,76,0.49673202614379086,10,0.2222222222222222,4,0.012121212121212121,179,0.7816593886462883,103,0.2400932400932401,3,0.05660377358490566
breastw,Mod,438,0.6412884333821376,555,0.8125915080527086,145,0.212298682284041,18,0.20689655172413793,13,0.2765957446808511,281,0.8028571428571428,126,0.7875,339,0.8453865336658354,174,0.8529411764705882,25,0.28735632183908044,17,0.3617021276595745,52,0.12967581047381546,58,0.28431372549019607,11,0.030555555555555555,24,0.1411764705882353
cardio,Default,1007,0.5499726925177498,1223,0.6679410158383398,842,0.4598580010922993,87,0.11740890688259109,67,0.9571428571428572,837,0.5613682092555332,16,0.8421052631578947,644,0.706140350877193,106,0.6022727272727273,473,0.6383265856950068,0,0.0,53,0.0581140350877193,152,0.8636363636363636,637,0.42580213903743314,0,0.0
cardio,Mod,1523,0.831785909339159,1831,1.0,274,0.14964500273074824,11,0.10576923076923077,99,0.868421052631579,1410,0.93812375249501,3,0.16666666666666666,1551,1.0,62,1.0,104,1.0,114,1.0,128,0.08252740167633785,47,0.7580645161290323,88,0.05823957643944408,11,0.4230769230769231
climate-model-simulation-crashes,Default,252,0.4666666666666667,401,0.7425925925925926,253,0.4685185185185185,16,0.06694560669456066,13,0.8666666666666667,221,0.49774774774774777,2,0.5,190,0.7480314960629921,25,0.8620689655172413,175,0.7322175732217573,11,0.7333333333333333,16,0.06299212598425197,26,0.896551724137931,208,0.4663677130044843,3,0.5
climate-model-simulation-crashes,Mod,308,0.5703703703703704,231,0.42777777777777776,277,0.512962962962963,27,0.2125984251968504,19,0.7307692307692307,259,0.7214484679665738,3,0.3,124,0.7469879518072289,14,0.4375,85,0.6692913385826772,8,0.3076923076923077,30,0.18072289156626506,23,0.71875,223,0.6211699164345403,1,0.1
datatrieve,Default,69,0.5307692307692308,107,0.823076923076923,58,0.4461538461538462,1,0.022727272727272728,5,1.0,63,0.5943396226415094,0,0,56,0.9333333333333333,6,1.0,40,0.9090909090909091,5,1.0,3,0.05,6,1.0,49,0.46226415094339623,0,0
datatrieve,Mod,77,0.5923076923076923,60,0.46153846153846156,47,0.36153846153846153,2,0.08333333333333333,3,0.6,72,0.7659574468085106,0,0.0,52,0.7428571428571429,0,0.0,6,0.25,2,0.4,9,0.12857142857142856,2,0.6666666666666666,34,0.35789473684210527,2,0.6666666666666666
fertility,Default,46,0.46,59,0.59,41,0.41,3,0.06382978723404255,4,0.8,37,0.4567901234567901,2,0.6666666666666666,24,0.5454545454545454,5,0.7142857142857143,27,0.574468085106383,3,0.6,0,0.0,6,0.8571428571428571,35,0.4430379746835443,0,0.0
fertility,Mod,60,0.6,74,0.74,24,0.24,22,0.55,4,0.8,29,0.6170212765957447,5,0.8333333333333334,36,0.7659574468085106,5,0.8333333333333334,29,0.725,4,0.8,9,0.19148936170212766,0,0.0,12,0.24,3,0.3333333333333333
flare,Default,458,0.42964352720450283,549,0.5150093808630394,497,0.46622889305816134,71,0.12220309810671257,50,1.0,303,0.3726937269372694,34,1.0,149,0.35903614457831323,60,0.7058823529411765,315,0.5421686746987951,25,0.5,19,0.04578313253012048,59,0.6941176470588235,413,0.5105067985166872,6,0.1875
flare,Mod,580,0.5440900562851783,1066,1.0,247,0.23170731707317074,111,0.3447204968944099,69,0.5847457627118644,359,0.6298245614035087,41,0.45555555555555555,562,1.0,64,1.0,322,1.0,118,1.0,90,0.1601423487544484,12,0.1875,106,0.18339100346020762,39,0.42857142857142855
glass,Default,87,0.40654205607476634,105,0.49065420560747663,86,0.40186915887850466,7,0.05982905982905983,2,0.3333333333333333,78,0.4148936170212766,0,0.0,45,0.4368932038834951,0,0.0,59,0.5042735042735043,1,0.16666666666666666,0,0.0,2,0.4,84,0.44919786096256686,0,0.0
glass,Mod,189,0.883177570093458,195,0.9112149532710281,10,0.04672897196261682,9,0.42857142857142855,5,0.7142857142857143,174,0.9354838709677419,1,0.3333333333333333,176,0.9513513513513514,1,0.5,12,0.5714285714285714,6,0.8571428571428571,4,0.021621621621621623,0,0.0,5,0.026881720430107527,1,0.3333333333333333
ionosphere,Default,208,0.5925925925925926,206,0.5868945868945868,142,0.4045584045584046,1,0.013888888888888888,47,0.6911764705882353,150,0.6787330316742082,10,0.3225806451612903,111,0.7551020408163265,45,0.45454545454545453,36,0.5,14,0.20588235294117646,0,0.0,68,0.6868686868686869,74,0.334841628959276,0,0.0
ionosphere,Mod,268,0.7635327635327636,335,0.9544159544159544,63,0.1794871794871795,7,0.4117647058823529,26,0.52,190,0.95,45,0.6521739130434783,200,0.9900990099009901,70,1.0,15,0.8823529411764706,50,1.0,9,0.04455445544554455,19,0.2714285714285714,12,0.05853658536585366,23,0.3108108108108108
kc3,Default,391,0.8537117903930131,250,0.5458515283842795,233,0.5087336244541485,0,0.0,28,0.8484848484848485,363,0.9705882352941176,0,0.0,208,1.0,10,0.45454545454545453,11,1.0,21,0.6363636363636364,24,0.11538461538461539,17,0.7727272727272727,191,0.5093333333333333,1,0.16666666666666666
kc3,Mod,340,0.74235807860262,229,0.5,229,0.5,4,0.07547169811320754,17,0.6296296296296297,317,0.8661202185792349,2,0.16666666666666666,181,0.8829268292682927,4,0.25,29,0.5471698113207547,15,0.5555555555555556,27,0.13170731707317074,11,0.6875,186,0.510989010989011,5,0.5
letter,Default,770,0.48125,1316,0.8225,770,0.48125,57,0.07883817427385892,24,0.96,682,0.5059347181008902,7,0.875,634,0.8453333333333334,50,1.0,607,0.8395573997233748,25,1.0,62,0.08266666666666667,46,0.92,659,0.4892353377876763,3,0.42857142857142855
letter,Mod,1352,0.845,1043,0.651875,553,0.345625,3,0.028846153846153848,75,0.9615384615384616,1274,0.9265454545454546,0,0.0,954,0.9417571569595261,9,0.17307692307692307,45,0.4326923076923077,35,0.44871794871794873,66,0.06515301085883514,45,0.8653846153846154,437,0.3157514450867052,5,0.4166666666666667
lungcancer_GSE31210,Default,101,0.4469026548672566,122,0.5398230088495575,103,0.4557522123893805,6,0.06315789473684211,10,0.8333333333333334,83,0.48255813953488375,2,0.5,55,0.5445544554455446,15,0.625,49,0.5157894736842106,3,0.25,6,0.0594059405940594,19,0.7916666666666666,78,0.4508670520231214,0,0.0
lungcancer_GSE31210,Mod,167,0.7389380530973452,226,1.0,47,0.2079646017699115,1,0.04,19,0.8260869565217391,147,0.8596491228070176,0,0.0,166,1.0,12,1.0,25,1.0,23,1.0,14,0.08433734939759036,9,0.75,21,0.12138728323699421,3,0.5
lympho,Default,71,0.4797297297297297,74,0.5,65,0.4391891891891892,4,0.057971014492753624,3,0.6,64,0.49612403100775193,0,0.0,39,0.527027027027027,1,0.16666666666666666,34,0.4927536231884058,0,0.0,3,0.04054054054054054,5,0.8333333333333334,57,0.4453125,0,0.0
lympho,Mod,70,0.47297297297297297,119,0.8040540540540541,55,0.3716216216216216,14,0.2916666666666667,0,0,54,0.6136363636363636,2,1.0,78,0.8571428571428571,6,1.0,35,0.7291666666666666,0,0,27,0.2967032967032967,3,0.5,25,0.2808988764044944,0,0.0
mw1,Default,218,0.5409429280397022,293,0.7270471464019851,193,0.47890818858560796,10,0.0684931506849315,10,0.8333333333333334,198,0.592814371257485,0,0.0,155,0.824468085106383,15,0.8823529411764706,113,0.773972602739726,10,0.8333333333333334,14,0.07446808510638298,15,0.8823529411764706,162,0.48214285714285715,2,0.5
